repo_key,sha,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
keras-team/keras,d865f5f0f2b7862afb96a4bf3dabdd0d464e5da9,637,3015,0.007442018897544504,4.733124018838304,3.0,282,0.6802710674778905,4.733124018838304,3.0,131,0.5501211889271591,0.48524046434494195,2,298,0.46781789638932497,0.6138147566718996,11,4.990917503025126,16,24,0.9638932496075353,23,0.03610675039246468,0.485653381626264,34,0.25224853206953013,0.16483516483516483,6,3.69701726844584,0.0007078393204742523,161568,253.63893249607534,121.0
kozea/weasyprint,121e6b37f9ea8eb24ea1061b517cb1c783a8b588,66,287,0.0668997668997669,4.348484848484849,2.5,22,0.5025340513145391,4.348484848484849,4.0,16,0.4465737514518002,0.23693379790940766,1,55,0.8333333333333334,0.8333333333333334,3,3.967741935483871,8,1,1.0,0,0.0,0.4468351726593094,5,0.46222228949501676,0.3181818181818182,3,1.893939393939394,0.0,31010,469.8484848484849,348.5
linkml/linkml,656d1719297b2a394273db13262ba76b1e0be118,111,232,0.019000819000819,2.09009009009009,1.0,41,0.7145076110593352,2.09009009009009,2.0,15,0.5258620689655172,0.46120689655172414,2,2,0.018018018018018018,0.036036036036036036,14,2.6027944111776447,7,20,0.8108108108108109,18,0.16216216216216217,0.5076086956521739,24,0.24327486766511155,0.35135135135135137,4,2.2522522522522523,0.0,23034,207.51351351351352,127.0
marcosschroh/dataclasses-avroschema,2bec52e49a789dfa90d5f4f0448498632cba33a6,41,102,0.06219512195121951,2.4878048780487805,1.0,16,0.5762792922046868,2.4878048780487805,2.0,10,0.49450023912003827,0.30392156862745096,5,12,0.2926829268292683,0.5121951219512195,7,2.963793103448276,8,7,0.8536585365853658,6,0.14634146341463414,0.3403861718117702,9,0.2961763567215504,0.3170731707317073,5,2.4390243902439024,0.0,4969,121.1951219512195,57.0
materials-consortia/optimade-python-tools,98cb352464082019f10b6c7b0659c53f6240fbbb,78,257,0.04279054279054279,3.2948717948717947,2.0,24,0.5730320263394193,3.2948717948717947,3.0,16,0.45799660780205526,0.2607003891050584,2,6,0.07692307692307693,0.1282051282051282,19,2.7281167108753315,9,4,0.9615384615384616,3,0.038461538461538464,0.46207361201532193,9,0.3099332275118177,0.358974358974359,3,2.3076923076923075,0.0,16557,212.26923076923077,116.5
matplotlib/matplotlib,d3491dc8151d87d46b0b29b859eee0d972292bb0,759,209,0.000363274826966464,0.2753623188405797,0.0,17,0.9466245563603584,0.2753623188405797,0.0,12,0.9434347636968814,0.8038277511961722,2,3,0.003952569169960474,0.006587615283267457,8,1.860125260960334,5,655,0.10013175230566534,648,0.8537549407114624,0.6415543406541615,660,0.027287535675119958,0.04084321475625823,4,2.8274044795783926,0.0481283422459893,203976,268.74308300395256,74.0
matrix-org/synapse,a962c5a56de69c03848646f25991fabe6e4c39d1,493,3021,0.012454855785880374,6.127789046653144,2.0,265,0.7561457894803986,6.127789046653144,5.0,90,0.5246103509376219,0.5858987090367428,2,374,0.7586206896551724,0.7647058823529411,5,3.6641295537248997,11,30,0.9391480730223124,28,0.056795131845841784,0.39688301257661257,39,0.3363071105835842,0.35496957403651114,5,2.6470588235294117,0.0,174577,354.1115618661258,180.0
mikedh/trimesh,156e6c4b236fada0ba236f07365ab41d538264d7,134,653,0.03664010773201661,4.873134328358209,2.0,79,0.6719274988000274,4.873134328358209,3.0,40,0.5191767045324678,0.43950995405819293,1,99,0.7388059701492538,0.7388059701492538,3,3.536291552302531,8,4,0.9776119402985075,3,0.022388059701492536,0.2633486797496094,9,0.38908365956419527,0.19402985074626866,3,1.6119402985074627,0.0,56231,419.63432835820896,211.5
missionpinball/mpf,c43bf1badfedd961d324af3199ea586438102ca3,267,732,0.010306665540255132,2.741573033707865,1.0,53,0.8151593295266163,2.741573033707865,2.0,55,0.5624526718650866,0.5724043715846995,5,74,0.27715355805243447,0.3146067415730337,6,3.2373805439843175,7,45,0.8352059925093633,44,0.1647940074906367,0.464838031937599,50,0.23866916503440386,0.250936329588015,4,2.3782771535580522,0.01455026455026455,52396,196.23970037453182,117.0
mne-tools/mne-python,d0eff795ad5d52c72428f61cb39cfb966bd60571,518,2223,0.008300784896529577,4.2915057915057915,1.0,253,0.8643846275425223,4.2915057915057915,3.0,30,0.5249063406958144,0.6297795771479981,3,106,0.20463320463320464,0.2277992277992278,8,4.629778672032193,10,22,0.9594594594594594,21,0.04054054054054054,0.42680486749594376,28,0.2974054872888002,0.22393822393822393,4,2.27027027027027,0.0004182350480970305,218162,421.1621621621622,127.5
mwaskom/seaborn,515286e02be3e4c0ff2ef4addb34a53c4a676ee4,113,212,0.01675094816687737,1.8761061946902655,0.0,55,0.811237268325263,1.8761061946902655,1.0,15,0.5686258139923193,0.5047169811320755,1,24,0.21238938053097345,0.21238938053097345,5,3.335250143760782,8,10,0.9203539823008849,9,0.07964601769911504,0.5098264894433306,14,0.20035611885919172,0.1504424778761062,2,1.3539823008849559,0.0,32197,284.929203539823,39.0
narwhals-dev/narwhals,0a67642a507699fecedcb5f945c2e05b5a0f4160,109,401,0.03406388039415562,3.6788990825688073,1.0,49,0.7642819556613054,3.6788990825688073,2.0,16,0.5193438422292892,0.486284289276808,1,60,0.5504587155963303,0.5504587155963303,2,3.167301829268293,7,21,0.8073394495412844,19,0.1743119266055046,0.400989555164954,27,0.35221945238435465,0.14678899082568808,3,1.7798165137614679,0.0,46911,430.3761467889908,84.0
networkx/networkx,8ec80c76f34ccb5df0ab197eef597da49d86f029,381,893,0.006167979002624672,2.3438320209973753,1.0,341,0.7484635529181473,2.3438320209973753,2.0,77,0.4601258549288282,0.6550951847704367,1,275,0.7217847769028871,0.7217847769028871,2,3.428162685306091,7,5,0.989501312335958,4,0.010498687664041995,0.4074644307044544,17,0.3640118590244089,0.5905511811023622,3,2.3595800524934383,0.0010256410256410256,121564,319.06561679790025,166.0
nilearn/nilearn,fefa4d30c262384ebda0f1123a1691abf466a9f0,170,636,0.022137138879220326,3.7411764705882353,2.0,60,0.6758971513133555,3.7411764705882353,2.0,20,0.5866259711431743,0.3977987421383648,1,76,0.4470588235294118,0.4470588235294118,8,5.5135969803551514,17,25,0.8588235294117647,24,0.1411764705882353,0.35123703132510814,32,0.23522147080507205,0.27647058823529413,4,2.164705882352941,0.024096385542168676,77420,455.4117647058824,260.0
nipy/nipype,6ac81cabddcd1174e1d8630737136aa14b4a11ed,316,758,0.007615029134016476,2.3987341772151898,1.0,204,0.7415082996559901,2.3987341772151898,2.0,17,0.40721752780468257,0.6358839050131926,1,25,0.07911392405063292,0.07911392405063292,9,3.4805223068552773,8,20,0.930379746835443,17,0.05379746835443038,0.4806008508398754,29,0.21526917134032364,0.6139240506329114,5,2.939873417721519,0.002574002574002574,124880,395.1898734177215,147.0
nltk/nltk,e0b05bb36f18b3d6b2a44e4a1831b05d586791f3,296,911,0.01043289051763628,3.0777027027027026,1.0,47,0.6508774141869641,3.0777027027027026,2.0,51,0.5006934761325541,0.4654226125137212,1,177,0.597972972972973,0.597972972972973,7,4.574467669466693,12,8,0.956081081081081,6,0.02027027027027027,0.5643799845372326,17,0.375180015120872,0.5743243243243243,3,2.081081081081081,0.0,130155,439.7128378378378,255.5
