repo_key,name,url,pinned_sha,licence,nontest_py_files,python_share,block,eligible_tasks,sampled_tasks,description,archived,size_tercile,domain
reframe-hpc/reframe,reframe-hpc/reframe,https://github.com/reframe-hpc/reframe,fcede1ac2d35d060aa4440d5559fb8d35c23ca01,BSD-3-Clause,159,0.8983,fresh,14,14,A powerful Python framework for writing and running portable regression tests and benchmarks for HPC systems.,False,medium,developer tools/testing
repobee/repobee,repobee/repobee,https://github.com/repobee/repobee,cbfc528f133d099530a7ad51975843226c4336b8,MIT,50,0.9659,fresh,15,15,CLI tool for managing Git repositories on GitHub and GitLab in the context of education,False,small,CLI/infrastructure
scikit-learn/scikit-learn,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,33a1f1690e7a7007633f59b6bee32017f4229864,BSD-3-Clause,622,0.9473,swebench,220,20,scikit-learn: machine learning in Python,False,large,data/ML
scipp/plopp,scipp/plopp,https://github.com/scipp/plopp,46c48e4084d63c926cee00f1567c86a2e615b8f1,BSD-3-Clause,67,0.9985,fresh,19,19,Visualization library for scipp,False,small,scientific/numeric
scrapy/scrapy,scrapy/scrapy,https://github.com/scrapy/scrapy,00167edca0677fd9657a8c5995d30600dd37fe37,BSD-3-Clause,176,0.9998,fresh,24,20,"Scrapy, a fast high-level web crawling & scraping framework for Python.",False,medium,web/API
sdv-dev/sdv,sdv-dev/SDV,https://github.com/sdv-dev/SDV,a400b4e963fb140290007835ff7e2872b9d330b9,see LICENSE,80,1.0,fresh,15,15,Synthetic data generation for tabular data,False,small,data/ML
sissbruecker/linkding,sissbruecker/linkding,https://github.com/sissbruecker/linkding,5cc8c9c010175e9f438d9c1c31117b7ce735a46a,MIT,131,0.8686,fresh,33,20,"Self-hosted bookmark manager that is designed be to be minimal, fast, and easy to set up using Docker.",False,medium,web/API
spacetelescope/jwst,spacetelescope/jwst,https://github.com/spacetelescope/jwst,e8ba844c92f5959069859aea0336214360f2d75d,BSD License,386,0.9565,fresh,15,15,processing pipeline for James Webb Space Telescope imagery and spectroscopy,False,large,scientific/numeric
spdx/tools-python,spdx/tools-python,https://github.com/spdx/tools-python,552940abb52cbc9cf358e429d1388e9c1b25d7a6,Apache-2.0,284,0.9956,fresh,15,15,"A Python library to parse, validate and create SPDX documents.",False,large,other
sphinx-doc/sphinx,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,8ef07089eeb3082f23338f18519d8cc96fd38b43,BSD-2-Clause,215,0.8465,swebench,223,20,The Sphinx documentation generator,False,medium,developer tools/testing
spikeinterface/spikeinterface,SpikeInterface/spikeinterface,https://github.com/SpikeInterface/spikeinterface,b8f7253b018d55c730e3cb096e17ff89339a5050,MIT,336,0.9981,fresh,10,10,A Python-based module for creating flexible and robust spike sorting pipelines.,False,large,scientific/numeric
sqlfluff/sqlfluff,sqlfluff/sqlfluff,https://github.com/sqlfluff/sqlfluff,514690958e5afdafde117ac74124f8fd8f2bd89f,MIT,244,1.0,fresh,50,20,A modular SQL linter and auto-formatter with support for multiple dialects and templated code.,False,medium,developer tools/testing
stanfordnlp/dspy,stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,da482fdee1560de668f9ada9ecf764cb13c8548b,MIT,130,0.9915,fresh,18,18,DSPy: The framework for programming—not prompting—language models,False,medium,data/ML
statsmodels/statsmodels,statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,831e26ca5dfb087658500f08236a30b99b3f4501,BSD-3-Clause,745,0.9907,fresh,13,13,Statsmodels: statistical modeling and econometrics in Python,False,large,scientific/numeric
streamlink/streamlink,streamlink/streamlink,https://github.com/streamlink/streamlink,987c4176f5d23efb845a0c0b884eac926e650d47,BSD-2-Clause,268,0.994,fresh,78,20,Streamlink is a CLI utility which pipes video streams from various services into a video player,False,large,CLI/infrastructure
sunpy/sunpy,sunpy/sunpy,https://github.com/sunpy/sunpy,7b7562c232c4031b0bcf3f13034f873eb4457eef,BSD-2-Clause,279,0.9199,fresh,12,12,SunPy - Python for Solar Physics,False,large,scientific/numeric
sympy/sympy,sympy/sympy,https://github.com/sympy/sympy,1b067d20fdb512f337a8b838eb0c74498720a472,BSD,869,0.9999,swebench,382,20,A computer algebra system written in pure Python,False,large,scientific/numeric
tefra/xsdata,tefra/xsdata,https://github.com/tefra/xsdata,2b96e1d6c02684e8a866708b36635c44b2944a61,MIT,127,1.0,fresh,27,20,Naive XML & JSON Bindings for python,False,medium,other
terrapower/armi,terrapower/armi,https://github.com/terrapower/armi,7b6693f1460d1c0d8d0a8e40edd22a07967bc6f8,Apache-2.0,300,0.9995,fresh,12,12,An open-source nuclear reactor analysis automation framework that helps design teams increase efficiency and quality,False,large,scientific/numeric
textualize/textual,Textualize/textual,https://github.com/Textualize/textual,3483d81fbed1f395d00b636b5043b0e9e80ca853,MIT,557,0.9969,fresh,58,20,The lean application framework for Python.  Build sophisticated user interfaces with a simple Python API. Run your apps in the terminal and a web browser.,False,large,other
tobymao/sqlglot,tobymao/sqlglot,https://github.com/tobymao/sqlglot,06db2350a1c625cc30212912a73267127fc4f3ea,MIT,78,0.9744,fresh,291,20,Python SQL Parser and Transpiler,False,small,developer tools/testing
tornadoweb/tornado,tornadoweb/tornado,https://github.com/tornadoweb/tornado,d33bd7d7de020dfebeb847311a49edb481991d76,Apache-2.0,59,0.9837,fresh,21,20,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.",False,small,web/API
tox-dev/tox,tox-dev/tox,https://github.com/tox-dev/tox,7ed917be1c3ec063210d3d09d69d2950e408bd16,MIT,115,1.0,fresh,66,20,Command line driven CI frontend and development task automation tool.,False,medium,developer tools/testing
twisted/twisted,twisted/twisted,https://github.com/twisted/twisted,7ac990f8d59699221633269c9e13b47dfbbab8a3,MIT License,668,0.9999,fresh,13,13,Event-driven networking engine written in Python.,False,large,web/API
ucfopen/canvasapi,ucfopen/canvasapi,https://github.com/ucfopen/canvasapi,fef329b92c06d9ed58e4744f65b8acf605f31207,MIT,75,0.9973,fresh,23,20,"Python API wrapper for Instructure's Canvas LMS. Easily manage courses, users, gradebooks, and more.",False,small,web/API
vertexproject/synapse,vertexproject/synapse,https://github.com/vertexproject/synapse,b5cc3206b4a0620ccbf75d560f93855f202e14ad,Apache-2.0,240,0.995,fresh,12,12,Synapse Central Intelligence System,False,medium,other
wemake-services/wemake-python-styleguide,wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2409cae2815b85de371c70d1df854156344c3c39,MIT,157,0.9941,fresh,36,20,The strictest and most opinionated python linter ever!,False,medium,developer tools/testing
xonsh/xonsh,xonsh/xonsh,https://github.com/xonsh/xonsh,4fc7d59c95f10821712d70fc9904b1906ec7e381,BSD License,160,0.9909,fresh,18,18,"🐚 Python-powered shell. Full-featured, cross-platform and AI-friendly.",False,medium,CLI/infrastructure
