source,a,b,n_pr,mean_a,mean_b,delta,a12,p,p_holm
symbol,hops_lines,rrf_hops_issue_path,1156,0.47674197454971573,0.4565513968956745,0.020190577654041253,0.5253315782857007,0.013956505661737511,0.30091745557504757
symbol,hops_lines,rrf_pprpl_issue_path,1156,0.47674197454971573,0.47350017102079317,0.00324180352892256,0.5057002879515331,0.9799421686304753,1.0
symbol,hops_lines,same_dir,1156,0.47674197454971573,0.3197893621182504,0.15695261243146535,0.6902526759737071,1.3182173399876912e-98,2.095965570580429e-96
symbol,hops_lines,random,1156,0.47674197454971573,0.24847668681438403,0.2282652877353317,0.776055572849942,6.180208241055566e-151,1.1433385245952797e-148
symbol,pagerank,bm25_issue,1156,0.40982896318498596,0.3404272250723622,0.06940173811262373,0.5878787221177907,1.6499190231137978e-19,1.1054457454862444e-17
symbol,pagerank,bm25_issue_pl,1156,0.40982896318498596,0.3552965126677088,0.054532450517277176,0.5722344530118173,5.650102153779108e-16,3.4465623138052554e-14
symbol,pagerank,path_issue,1156,0.40982896318498596,0.38238263552099244,0.02744632766399352,0.5383821883119216,8.772404981527065e-06,0.0003158065793349743
symbol,pagerank,bm25_seed,1156,0.40982896318498596,0.33602775615587943,0.07380120702910653,0.5958991600914741,1.903923928177365e-21,1.3327467497241555e-19
symbol,pagerank,path_seed,1156,0.40982896318498596,0.36485004396282167,0.04497891922216429,0.5601993061625219,5.522614346373023e-13,3.037437890505163e-11
symbol,pagerank,rrf_ppr_issue,1156,0.40982896318498596,0.3904138190033678,0.01941514418161816,0.5251022198010081,0.004614187259594351,0.11535468148985877
symbol,pagerank,rrf_ppr_issue_path,1156,0.40982896318498596,0.4200118632448838,-0.01018290005989786,0.48676418206199645,0.4341458491415965,1.0
symbol,pagerank,rrf_hops_path,1156,0.40982896318498596,0.47590547495198987,-0.06607651176700391,0.4156828821493995,4.546963850786591e-15,2.6372390334562225e-13
symbol,pagerank,rrf_hops_issue_path,1156,0.40982896318498596,0.4565513968956745,-0.046722433710688516,0.4391896948072941,3.9473325773796454e-08,1.7762996598208403e-06
symbol,pagerank,rrf_pprpl_issue_path,1156,0.40982896318498596,0.47350017102079317,-0.06367120783580721,0.4200391967289663,4.044909713215913e-14,2.3055985365330704e-12
symbol,pagerank,same_dir,1156,0.40982896318498596,0.3197893621182504,0.09003960106673559,0.6211884585912525,1.854211560422899e-36,1.7244167511932959e-34
symbol,pagerank,random,1156,0.40982896318498596,0.24847668681438403,0.16135227637060193,0.7131174345374218,5.109688838992058e-111,8.533180361116738e-109
symbol,bm25_issue,bm25_issue_pl,1156,0.3404272250723622,0.3552965126677088,-0.014869287595346559,0.48661638988996786,0.23495362091741168,1.0
symbol,bm25_issue,path_issue,1156,0.3404272250723622,0.38238263552099244,-0.041955410448630215,0.4527506555237604,7.388228512419657e-10,3.5463496859614355e-08
symbol,bm25_issue,bm25_seed,1156,0.3404272250723622,0.33602775615587943,0.004399468916482796,0.5074689299697082,0.33112483016138905,1.0
symbol,bm25_issue,path_seed,1156,0.3404272250723622,0.36485004396282167,-0.02442281889045944,0.47130212760862533,0.0003662882396841009,0.010988647190523027
symbol,bm25_issue,rrf_ppr_issue,1156,0.3404272250723622,0.3904138190033678,-0.049986593931005574,0.43307409214449055,9.729688600030693e-47,1.0410766802032842e-44
symbol,bm25_issue,rrf_ppr_issue_path,1156,0.3404272250723622,0.4200118632448838,-0.0795846381725216,0.39729154943068207,2.755263092695872e-72,3.857368329774221e-70
symbol,bm25_issue,rrf_hops_path,1156,0.3404272250723622,0.47590547495198987,-0.13547824987962764,0.3314899845547826,6.76330111407536e-70,9.062823492860983e-68
symbol,bm25_issue,rrf_hops_issue_path,1156,0.3404272250723622,0.4565513968956745,-0.11612417182331225,0.35232119766286324,8.196373193545296e-97,1.2868305913866115e-94
symbol,bm25_issue,rrf_pprpl_issue_path,1156,0.3404272250723622,0.47350017102079317,-0.13307294594843094,0.33470437075705517,2.8220207957542276e-102,4.5434534811643067e-100
symbol,bm25_issue,same_dir,1156,0.3404272250723622,0.3197893621182504,0.020637862954111852,0.5331293926078472,0.00036806320204803847,0.010988647190523027
symbol,bm25_issue,random,1156,0.3404272250723622,0.24847668681438403,0.09195053825797819,0.6223120532560674,3.3317017771712266e-46,3.498286866029788e-44
symbol,bm25_issue_pl,path_issue,1156,0.3552965126677088,0.38238263552099244,-0.027086122853283656,0.4669869703427881,1.7014309382953596e-05,0.0005784865190204223
symbol,bm25_issue_pl,bm25_seed,1156,0.3552965126677088,0.33602775615587943,0.019268756511829355,0.5205558332634906,0.06596600772636005,0.8575581004426807
symbol,bm25_issue_pl,path_seed,1156,0.3552965126677088,0.36485004396282167,-0.009553531295112883,0.485498407586116,0.11637845417031488,1.0
symbol,bm25_issue_pl,rrf_ppr_issue,1156,0.3552965126677088,0.3904138190033678,-0.035117306335659015,0.4491026208977383,8.113289540582287e-08,3.4887145024503835e-06
symbol,bm25_issue_pl,rrf_ppr_issue_path,1156,0.3552965126677088,0.4200118632448838,-0.06471535057717503,0.4140399570167981,3.481135322007401e-21,2.4019833721851065e-19
