half,source,method,family,n_pr,auc,ci_lo,ci_hi,rank,chosen_on_select,n_repos
confirm,symbol,bm25_issue_pl,lexical,382,0.3677420302553919,0.3205295136960358,0.41559821348963977,16.0,rrf_pprpl_issue_path,56
confirm,symbol,bm25_seed,lexical,382,0.360136870867401,0.31945013180739573,0.402022839169133,17.0,rrf_pprpl_issue_path,56
confirm,symbol,pagerank,global,382,0.34880433834595054,0.307796720384706,0.3925680927458145,18.0,rrf_pprpl_issue_path,56
confirm,symbol,indegree,global,382,0.3385469538739518,0.2992806796298181,0.3804755661911297,19.0,rrf_pprpl_issue_path,56
confirm,symbol,same_dir,reference,382,0.3290466915680521,0.28694895061286163,0.3734841021729042,20.0,rrf_pprpl_issue_path,56
confirm,symbol,ppr_in_pl,structure,382,0.29543029551810096,0.25543619479117846,0.33571083085361003,21.0,rrf_pprpl_issue_path,56
confirm,symbol,ppr_in,structure,382,0.2886957596428037,0.24937335769483898,0.32934077579918314,22.0,rrf_pprpl_issue_path,56
confirm,symbol,random,reference,382,0.26023689814988354,0.22244785138261805,0.3013049514142655,23.0,rrf_pprpl_issue_path,56
confirm,symbol,rrf_hops_pathseed,fusion-control,382,0.41903203936035516,0.3750622311946198,0.4647453289412491,,rrf_pprpl_issue_path,56
confirm,symbol,rrf_pprpl_seedpath,fusion-control,382,0.4187086199655735,0.37687032384102753,0.46231764791978636,,rrf_pprpl_issue_path,56
