repo_key,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
google/mobly,37.0,44.0,0.03277310924369748,1.1891891891891893,1.0,9.0,0.6495388669301713,1.1891891891891893,1.0,9.0,0.6007371007371007,0.3181818181818182,0.0,0.0,0.0,0.0,6.0,2.1219512195121952,6.0,9.0,0.7297297297297297,7.0,0.1891891891891892,0.49278846153846156,13.0,0.2951951951951952,0.2972972972972973,4.0,2.2285714285714286,0.0,7179.0,191.1081081081081,138.5
googleapis/python-storage,32.0,50.0,0.04942528735632184,1.4333333333333333,0.0,8.0,0.6798449612403101,1.4333333333333333,0.0,10.0,0.7527131782945736,0.3023255813953488,2.0,4.0,0.125,0.1875,4.0,1.7980769230769231,4.0,15.0,0.5625,14.0,0.4375,0.21502325419963902,17.0,0.284516020595566,0.1,3.0,2.1333333333333333,0.296875,13636.5,424.1541666666667,138.5
hgrecco/pint,26.5,70.0,0.10737799834574027,2.7253846153846153,1.75,12.5,0.58787150966688,2.7253846153846153,2.0,13.0,0.5909957352471491,0.3188405797101449,1.0,13.5,0.5292307692307692,0.5292307692307692,3.0,2.271452000234288,4.0,7.0,0.788888888888889,6.0,0.2111111111111111,0.1754150390625,9.0,0.5224781628627783,0.2746153846153846,2.0,1.0868486352357318,0.0,10672.0,406.53846153846155,217.0
ibis-project/ibis,193.5,1066.0,0.027960741193769602,5.532477915017788,1.0,94.5,0.7528857436505529,5.532477915017788,4.5,21.5,0.4358130916356258,0.48911748731107074,3.0,87.0,0.43283582089552236,0.46766169154228854,11.0,3.3743312464428,9.0,12.0,0.9407003777971521,11.0,0.05929962220284801,0.35855847905214533,17.0,0.35693293693630435,0.41824884792626726,5.0,2.9937525815778603,0.000856166893902743,80560.0,383.47119958428266,239.25
instructlab/instructlab,60.0,89.0,0.026255707762557076,1.4915254237288136,1.0,14.0,0.6269230769230769,1.4915254237288136,1.0,10.0,0.6451310861423221,0.36363636363636365,1.0,2.0,0.025974025974025976,0.0273972602739726,9.0,1.8224852071005917,5.0,17.0,0.7166666666666667,16.0,0.2833333333333333,0.4075037576598451,21.0,0.24873949579831933,0.2727272727272727,5.0,3.1842105263157894,0.1700404858299595,10211.0,211.91780821917808,87.0
ipython/ipython,190.0,401.0,0.011166805903648009,2.110526315789474,1.0,22.0,0.672122325764536,2.110526315789474,1.0,46.0,0.713938837117732,0.3341645885286783,1.0,52.0,0.2736842105263158,0.2736842105263158,8.0,3.826451961801175,8.0,49.0,0.7368421052631579,46.0,0.24210526315789474,0.4552373278175739,56.0,0.22917333354639857,0.24736842105263157,3.0,2.036842105263158,0.036101135310472654,55173.5,291.63684210526316,140.5
iterative/dvc,146.5,514.0,0.023898467432950193,3.5892857142857144,1.0,66.0,0.6197858988556663,3.5892857142857144,2.0,42.0,0.5007647240409379,0.43887775551102204,2.5,68.0,0.4748832866479925,0.5260270774976658,12.0,3.405703915089111,9.0,3.0,0.9801960784313726,1.0,0.010150375939849623,0.42926756064471194,8.0,0.3699036742208753,0.49249693384315707,3.0,1.8950617283950617,0.0015503875968992248,18424.0,130.72781363453007,75.0
jackdewinter/pymarkdown,197.0,1171.0,0.03099502487562189,5.944162436548224,2.0,129.0,0.7702033894394389,5.944162436548224,5.0,26.0,0.4438812649968995,0.504313725490196,1.0,14.0,0.07106598984771574,0.07106598984771574,20.0,4.105007394886964,12.0,11.0,0.9464285714285714,10.0,0.05357142857142857,0.4031241431589813,15.0,0.40934925482560813,0.1691542288557214,3.0,1.9158415841584158,0.0,49271.0,295.51231527093597,150.0
jlowin/fastmcp,78.5,183.5,0.02983408996067224,2.3534002229654405,1.0,24.0,0.6951109599712835,2.3534002229654405,1.0,22.0,0.5819380225117929,0.3622229890345833,1.0,23.5,0.293005517689062,0.2981208289427467,8.0,3.0733401009187626,6.0,9.0,0.8762646611155878,8.0,0.09554140127388536,0.4036309603431697,13.5,0.20413166118533838,0.27257952170884603,5.0,3.0128205128205128,0.0,13139.5,168.1730769230769,67.0
joke2k/faker,634.0,688.0,0.0017143341257145135,1.085173501577287,0.0,58.0,0.9581377008289927,1.085173501577287,1.0,6.0,0.12033550307529542,0.8954802259887006,1.0,3.0,0.004531722054380665,0.004531722054380665,6.0,2.392627412172192,5.0,7.0,0.9906396255850234,6.0,0.0093603744149766,0.8627015358638309,24.0,0.026416174644997167,0.061386138613861385,4.0,3.8406940063091484,0.0,310239.0,479.11383285302594,63.5
